0,0,0,b.
-31.970513474448513,162.31665630668567,-76.87494369604822,r.
200,0,0,b.
189.38061105557145,81.33531100659712,-24.82818784424878,r.
200,-200,0,b.
192.90209660401706,-154.0317542102388,-9.518798425085233,r.
0,-200,0,b.
-20.258010094881293,-166.59610300137984,3.723137225303632,r.
0,-400,0,b.
-16.716976962584503,-359.17598021932974,-10.204087592823326,r.
200,-400,0,b.
195.83155310033072,-365.28067135408156,-8.979269505285112,r.
200,-600,0,b.
198.88802512347306,-574.2555946809301,-7.962769853810028,r.
0,-600,0,b.
-12.218386559685852,-567.1940353950368,-10.957807855592142,r.
0,-800,0,b.
-7.620266103576184,-775.1320118005093,-9.57075516597329,r.
200,-800,0,b.
201.96070923966914,-781.450971745609,-6.06205367789558,r.
200,-1000,0,b.
205.00882305623378,-986.2922531648519,-3.7018985797992747,r.
0,-1000,0,b.
-3.0312223547682304,-981.1145493686809,-7.401913610347389,r.
0,-1200,0,b.
1.5173486716303302,-1184.6357801711479,-4.846044645024377,r.
200,-1200,0,b.
208.01892266370072,-1188.5413537767051,-1.0839941661597254,r.
200,-1400,0,b.
210.98614007767873,-1388.1111919579996,1.6926371979371504,r.
0,-1400,0,b.
6.013277129179958,-1385.5234102362977,-2.063858817467419,r.
400,0,0,b.
402.48536351856916,61.396213978287875,-15.820491106203855,r.
600,0,0,b.
612.720796261015,50.17791858115503,-12.885709450815746,r.
600,-200,0,b.
612.7514257102421,-165.29423088172655,-9.62519552890534,r.
400,-200,0,b.
404.06392733483875,-157.77136305886992,-10.948771051504595,r.
400,-1200,0,b.
411.7854065985393,-1191.316902355649,1.674019592079803,r.
600,-1200,0,b.
612.999041274622,-1193.042836148362,3.498779233252254,r.
600,-1400,0,b.
613.0238638366749,-1390.097467725952,6.215123618279355,r.
400,-1400,0,b.
413.26233016900085,-1389.6137368856548,4.431527800155217,r.
800,0,0,b.
820.3672969633495,41.01847431489479,-11.343380715698936,r.
1000,0,0,b.
1025.5680041713201,33.30223625492952,-10.764870443120971,r.
1000,-200,0,b.
1022.6304745011325,-178.53605918114013,-8.18205341764194,r.
800,-200,0,b.
818.8982716186033,-172.41600794095856,-8.558302534435462,r.
800,-1200,0,b.
811.8269436274004,-1193.7729619866957,4.438332436208247,r.
1000,-1200,0,b.
1008.4254508347265,-1193.5456926571894,4.526364714677779,r.
1000,-1400,0,b.
1005.663942874054,-1388.203768260233,7.10029675918057,r.
800,-1400,0,b.
810.4389842173945,-1389.6127349442688,7.09072395652745,r.
1200,0,0,b.
1228.4684999818178,26.871100249391304,-11.042512269213798,r.
1400,0,0,b.
1429.2101451301928,21.643126567902044,-12.122058982530753,r.
1400,-200,0,b.
1423.4323153040998,-187.46486393759747,-9.730099255631952,r.
1200,-200,0,b.
1224.0942031445654,-183.5537442033095,-8.570984453577742,r.
1200,-400,0,b.
1219.7706010610843,-391.0055483568213,-6.107006114711604,r.
1400,-400,0,b.
1417.7210562245348,-393.65388877285346,-7.335953278770063,r.
1400,-600,0,b.
1412.0748342636457,-596.9863308454073,-4.935530599418428,r.
1200,-600,0,b.
1215.4959225047135,-595.553285541264,-3.643214926309531,r.
1200,-800,0,b.
1211.2669274327866,-797.2663645720403,-1.1705752766835442,r.
1400,-800,0,b.
1406.4925311258592,-797.5118993722596,-2.533554152656633,r.
1400,-1000,0,b.
1400.9726005252344,-995.2849099436463,-0.12989242340097037,r.
1200,-1000,0,b.
1207.0827734045001,-996.1952427698146,1.3083369195426098,r.
1200,-1200,0,b.
1202.9418294105894,-1192.3947122845316,3.7942141498188082,r.
1400,-1200,0,b.
1395.5142174966531,-1190.3565089477981,2.273834070058499,r.
1400,-1400,0,b.
1390.1184700541157,-1382.7667604697026,4.667031993970126,r.
1200,-1400,0,b.
1198.8447964951329,-1385.910573869709,6.281766218875507,r.
0,-1410,-10,b.
4.038452109257496,-1417.2260987082823,-33.4975274182354,r.
200,-1410,-10,b.
208.06680438886363,-1419.953547626015,-30.564124656416276,r.
200,-1410,-210,b.
207.4594512838898,-1414.0170591369522,-215.05415541999162,r.
0,-1410,-210,b.
0.18219976745054056,-1409.34435724623,-220.99607417444045,r.
400,-1410,-10,b.
409.62817890908127,-1421.5765963134456,-28.667013439078296,r.
600,-1410,-10,b.
608.8995175221552,-1422.1563060807302,-27.748914661478945,r.
600,-1410,-210,b.
614.1017158996668,-1419.8841226721768,-206.60283335189342,r.
400,-1410,-210,b.
412.03497264010014,-1417.5095396406807,-210.27684113844367,r.
800,-1410,-10,b.
806.044181248283,-1421.7461525809895,-27.760075519359173,r.
1000,-1410,-10,b.
1001.2141177113884,-1420.3932425464363,-28.65524898241158,r.
1000,-1410,-210,b.
1011.40787867138,-1421.5030926343763,-202.34220341469694,r.
800,-1410,-210,b.
813.8373798652663,-1421.1986066947352,-203.9747195907578,r.
1200,-1410,-10,b.
1194.5514806171504,-1418.138012046666,-30.397061208023743,r.
1400,-1410,-10,b.
1386.1877181695222,-1415.0217273905164,-32.946645781279145,r.
1400,-1410,-210,b.
1400.6584958181954,-1419.2714373951296,-201.87694493216088,r.
1200,-1410,-210,b.
1206.9674174346908,-1420.8459427610883,-201.65761881754884,r.
586.8008740005204,-924.0606589156531,352.7836822961209,g.
779.2253097910017,-939.585836097858,362.6784680765934,g.
800.3890667300029,-911.3620742243246,195.6865122890348,g.
604.4810706926877,-893.5692967212489,179.56849765108078,g.
720.4326782226562,-858.0751953125,107.24944305419922,r.
